Year,Month_numeric,Day,Season,Tmax ,Tmin ,Frost_days,Rain,Sun,Date
1957,1,1,Winter,8.7,2.7,5,39.5,53,01/01/1957
1957,2,1,Winter,9,2.9,5,69.8,64.9,01/02/1957
1957,3,1,Spring,13.9,5.7,2,25.4,96.7,01/03/1957
1957,4,1,Spring,14.2,5.2,1,5.7,169.6,01/04/1957
1957,5,1,Spring,16.2,6.5,0,21.3,195,01/05/1957
1957,6,1,Summer,23.6,10.7,0,22.4,284.5,01/06/1957
1957,7,1,Summer,22.5,13.8,0,87,152.3,01/07/1957
1957,8,1,Summer,21.1,12.5,0,86.2,154.4,01/08/1957
1957,9,1,Autumn,17.6,10.1,0,51.7,88.5,01/09/1957
1957,10,1,Autumn,15.5,7.7,0,47,85.9,01/10/1957
1957,11,1,Autumn,9.4,4.3,2,59.5,67.5,01/11/1957
1957,12,1,Winter,7.6,1,11,42.1,40.8,01/12/1957
1958,1,1,Winter,6.8,0.9,10,64.3,40.1,01/01/1958
1958,2,1,Winter,8.9,1.9,10,58.7,45.7,01/02/1958
1958,3,1,Spring,8.1,1.1,10,26,105.2,01/03/1958
1958,4,1,Spring,12.3,3.8,3,29.5,153.2,01/04/1958
1958,5,1,Spring,17.3,7.8,0,59.5,189.2,01/05/1958
1958,6,1,Summer,19.4,10.7,0,104.3,152.2,01/06/1958
1958,7,1,Summer,21.7,12.9,0,51.9,190.5,01/07/1958
1958,8,1,Summer,20.8,13.1,0,75.2,103.1,01/08/1958
1958,9,1,Autumn,20,12.1,0,83.8,134.8,01/09/1958
1958,10,1,Autumn,14.9,8.3,0,50.7,94.2,01/10/1958
1958,11,1,Autumn,9.7,4.4,1,50.7,40.8,01/11/1958
1958,12,1,Winter,8,2.7,2,85.1,29.6,01/12/1958
1959,1,1,Winter,5.7,-1.1,23,54.8,76.2,01/01/1959
1959,2,1,Winter,7.4,1.2,7,2.4,54.8,01/02/1959
1959,3,1,Spring,11.9,4.4,0,43.8,103.9,01/03/1959
1959,4,1,Spring,14.2,6.3,0,52.9,139.1,01/04/1959
1959,5,1,Spring,18.7,8,0,21.9,221.4,01/05/1959
1959,6,1,Summer,22.1,11.1,0,16.2,231.6,01/06/1959
1959,7,1,Summer,24.7,13.3,0,86.5,276.9,01/07/1959
1959,8,1,Summer,24.2,13.7,0,27.6,240,01/08/1959
1959,9,1,Autumn,22.7,10.6,0,5.1,209.2,01/09/1959
1959,10,1,Autumn,17.8,8.5,0,46.9,150.1,01/10/1959
1959,11,1,Autumn,10.8,3.5,6,53.5,53,01/11/1959
1959,12,1,Winter,9.3,3,1,75.7,30.2,01/12/1959
1960,1,1,Winter,6.9,1.8,12,47.9,34.4,01/01/1960
1960,2,1,Winter,7.9,1.6,7,48,80.1,01/02/1960
1960,3,1,Spring,10.2,4.5,0,33.9,65,01/03/1960
1960,4,1,Spring,14.3,4.6,1,12.4,156.1,01/04/1960
1960,5,1,Spring,18.4,9.3,0,45.6,181.7,01/05/1960
1960,6,1,Summer,22.1,12.1,0,42.8,248.6,01/06/1960
1960,7,1,Summer,20.1,12.4,0,67.2,139.7,01/07/1960
1960,8,1,Summer,20.3,11.8,0,60.8,150.9,01/08/1960
1960,9,1,Autumn,18.5,10.5,0,75.3,128.4,01/09/1960
1960,10,1,Autumn,14.2,8.2,0,155.5,75.2,01/10/1960
1960,11,1,Autumn,11.2,4.5,4,89.5,69.4,01/11/1960
1960,12,1,Winter,6.9,2.1,5,56.5,44.5,01/12/1960
1961,1,1,Winter,6.9,1.2,11,64.4,45.8,01/01/1961
1961,2,1,Winter,10.3,4.9,0,55.1,56,01/02/1961
1961,3,1,Spring,13.9,2.9,4,5.7,166.7,01/03/1961
1961,4,1,Spring,15,7.1,0,50.8,73.5,01/04/1961
1961,5,1,Spring,16.8,7.4,0,17.2,217.2,01/05/1961
1961,6,1,Summer,21.7,10.5,0,29.2,229.3,01/06/1961
1961,7,1,Summer,22.1,12.1,0,26.2,180,01/07/1961
1961,8,1,Summer,21.7,12.6,0,47.6,158.8,01/08/1961
1961,9,1,Autumn,20.9,12,0,64.7,125.4,01/09/1961
1961,10,1,Autumn,15.6,7.6,1,56.8,117.2,01/10/1961
1961,11,1,Autumn,9.9,3.5,7,52.5,55.6,01/11/1961
1961,12,1,Winter,6.8,0.2,17,88.6,46.2,01/12/1961
1962,1,1,Winter,7.9,1.2,7,76.1,67.1,01/01/1962
1962,2,1,Winter,7.6,1.4,7,12.6,67.1,01/02/1962
1962,3,1,Spring,7.4,-0.6,16,35.8,111.4,01/03/1962
1962,4,1,Spring,12.7,4.7,0,41.8,142.7,01/04/1962
1962,5,1,Spring,15,7.1,0,29.6,157.9,01/05/1962
1962,6,1,Summer,20.4,9.4,0,6.1,260.5,01/06/1962
1962,7,1,Summer,20.6,12.1,0,82.8,135,01/07/1962
1962,8,1,Summer,20,11.6,0,52.9,173.6,01/08/1962
1962,9,1,Autumn,17.8,9.6,0,88.4,152,01/09/1962
1962,10,1,Autumn,15.7,7.1,1,37.6,114.4,01/10/1962
1962,11,1,Autumn,9.1,3.2,8,41.7,33.6,01/11/1962
1962,12,1,Winter,5,-1.1,22,52.8,64.1,01/12/1962
1963,1,1,Winter,0.8,-4.6,28,12.9,38.4,01/01/1963
1963,2,1,Winter,2.8,-2.2,24,6.6,72.2,01/02/1963
1963,3,1,Spring,10.7,3,7,68.2,95.9,01/03/1963
1963,4,1,Spring,13.6,5.7,1,52.1,123.2,01/04/1963
1963,5,1,Spring,16,6.9,0,33.7,195.6,01/05/1963
1963,6,1,Summer,20.8,11.3,0,48.3,193.4,01/06/1963
1963,7,1,Summer,21.1,11.9,0,28.1,196.2,01/07/1963
1963,8,1,Summer,19.8,11.7,0,53.4,138.6,01/08/1963
1963,9,1,Autumn,18,10.1,0,49,120.9,01/09/1963
1963,10,1,Autumn,14.8,8.2,0,34.7,85.4,01/10/1963
1963,11,1,Autumn,11.8,6,1,118.8,59.3,01/11/1963
1963,12,1,Winter,5.4,0,16,16.1,44.1,01/12/1963
1964,1,1,Winter,5.8,0.4,9,17.8,37.4,01/01/1964
1964,2,1,Winter,7.6,2,7,16.8,59.2,01/02/1964
1964,3,1,Spring,7.6,2.6,5,95.1,66.8,01/03/1964
1964,4,1,Spring,12.8,5.4,2,73.5,126.1,01/04/1964
1964,5,1,Spring,19.6,9.8,0,46.1,197.8,01/05/1964
1964,6,1,Summer,19.3,11.2,0,110.1,164.1,01/06/1964
1964,7,1,Summer,22.8,13.5,0,20.2,219.7,01/07/1964
1964,8,1,Summer,22.3,12.7,0,21.2,215.7,01/08/1964
1964,9,1,Autumn,21.1,10.6,0,11.1,213.7,01/09/1964
1964,10,1,Autumn,13.7,5.3,1,29.2,126.2,01/10/1964
1964,11,1,Autumn,11.2,5.3,2,29.6,55,01/11/1964
1964,12,1,Winter,7.1,0.9,12,29.9,48.6,01/12/1964
1965,1,1,Winter,6.6,1,14,43,72.8,01/01/1965
1965,2,1,Winter,5.9,0.9,11,8.3,32.5,01/02/1965
1965,3,1,Spring,10.5,2.2,9,58,129.7,01/03/1965
1965,4,1,Spring,13.4,4.8,0,44.8,138.6,01/04/1965
