ID	logFC	AveExpr	adj.P.Val
DN100238_c0_g1	5.180194611	-2.653788524	6.2e-22
DN107328_c0_g1	3.03194878	-3.45228604	1.13e-10
DN11751_c0_g1	-2.006680963	6.591685719	1.5e-11
DN12336_c0_g1	-2.093149018	-2.289754159	3.17e-05
DN13800_c0_g2	1.653678755	-2.817788469	0.000703874
DN14149_c0_g2	-1.251451769	0.445640674	0.004897789
DN15819_c0_g1	1.619473574	-3.722094579	0.000823386
DN16065_c0_g1	1.742436068	-3.433921994	0.000206479
DN16215_c0_g1	2.152248772	-3.446822278	8.99e-09
DN16363_c0_g1	1.132132799	-3.691820686	0.007478289
DN16481_c0_g1	1.85533909	-1.814561323	3.19e-05
DN16481_c0_g2	1.727063974	-1.558475554	5.54e-05
DN1693_c0_g1	2.250338095	3.513444164	2.47e-09
DN17018_c0_g1	1.142987832	-3.741643683	0.005265851
DN17075_c0_g1	2.237140809	-2.208479329	2.69e-07
DN18511_c0_g1	2.70019725	-3.619737597	1.09e-06
DN19071_c0_g1	2.173782759	-3.093943904	0.000319668
DN19369_c0_g1	-1.509027489	4.726973441	1.29e-14
DN19379_c0_g2	1.301070744	-0.268267033	2.26e-06
DN19622_c0_g1	2.140959016	0.84136749	1e-10
DN19805_c0_g1	-2.07527863	-1.493277265	3.8e-06
DN19805_c0_g3	2.556436702	-2.92089461	1.36e-06
DN20009_c0_g2	-1.950615765	-0.044033457	1.16e-11
DN22480_c0_g1	-1.791359621	-1.380958869	4.41e-06
DN22631_c0_g1	1.316948137	-2.693614701	0.000717689
DN22766_c0_g1	1.884142829	-2.839179108	8.88e-05
DN23303_c0_g1	-1.084548769	-2.243498479	0.001732746
DN23494_c0_g1	-1.575559834	-2.968575545	0.000347323
DN23556_c0_g1	2.36724893	-2.708461365	1.71e-07
DN23672_c0_g1	-1.161521493	-2.574344621	0.004994448
DN23733_c0_g1	-1.255746824	-1.710769495	0.00036142
DN23821_c0_g2	-2.680648557	-3.039593078	8.53e-09
DN24060_c0_g1	1.252387412	-3.275931962	0.001279199
DN24439_c0_g1	2.574402782	-0.279415366	8.58e-14
DN24500_c0_g1	1.483668902	-3.110914181	0.000281061
DN24607_c0_g1	3.951075733	1.956730474	6.52e-17
DN24607_c0_g2	3.85403082	-3.204341669	3.33e-06
DN24628_c0_g1	1.324776215	-3.732199762	0.003830759
DN24651_c0_g1	-3.102319901	2.873823263	1.75e-19
DN24670_c0_g2	-1.396535151	-2.226457064	0.001586046
DN24971_c0_g1	2.08179446	-3.837468225	6.32e-07
DN25299_c0_g1	3.270195093	-1.374488688	2.07e-11
DN25378_c0_g1	1.710813917	-3.007585085	2.91e-06
DN25398_c0_g1	1.431533694	-3.385828057	0.005017305
DN25408_c0_g1	5.584493804	-1.978074845	7.1e-19
DN25972_c0_g1	1.762443088	-3.772670972	0.000136531
DN25972_c0_g2	1.82038617	-3.508795963	0.000212943
DN26284_c0_g1	3.762291051	-0.884258277	6.43e-13
DN26284_c0_g2	3.630216403	0.789014842	5.88e-18
DN26371_c0_g1	-4.102739199	-0.81112322	2.01e-11
DN26499_c0_g2	1.58329466	-4.232308153	3.78e-05
DN26538_c0_g1	2.888057952	-0.943496843	6.4e-09
DN26538_c0_g2	2.900317983	2.525097006	1.31e-18
DN26955_c0_g1	-2.209058557	-1.224346413	1.03e-07
DN27024_c0_g1	1.708802251	-2.550497472	0.002754251
DN27152_c0_g1	1.454192011	-3.167477905	0.000838493
DN27203_c0_g1	-1.022404339	-1.173709111	0.000649164
DN27352_c0_g1	-1.440129098	-2.429590163	0.001788468
DN27352_c1_g1	-1.256463637	-2.827115969	0.009575162
DN27805_c0_g1	-1.298522009	-2.92702399	0.005761275
DN27955_c0_g1	1.016113865	2.653208229	1.7e-13
DN27970_c0_g1	-2.144760348	-1.858877424	4.31e-07
DN28153_c0_g1	-1.546481974	-2.452804628	0.000181401
DN28192_c0_g1	1.816877589	-0.682425071	6.98e-06
DN28761_c0_g1	1.425274675	-2.430049452	0.000907003
DN28843_c0_g1	1.559274203	-0.79189557	3.1e-08
DN29094_c0_g1	4.941161467	-1.722653101	1.11e-05
DN29161_c0_g1	-1.284592734	2.696426543	1.58e-10
DN29414_c0_g1	-3.559299554	2.63201411	3.89e-18
DN29580_c0_g1	-1.887870957	0.693308941	3.97e-11
DN29588_c0_g1	-1.30467165	-1.554532937	0.002363847
DN29954_c0_g1	1.788639428	-2.40215586	0.000168563
DN30304_c0_g1	1.740546002	-3.56604175	0.000790939
DN30645_c0_g1	1.325165567	-3.152197577	0.003812123
DN30652_c0_g1	1.386786554	-3.849310359	0.00436159
DN30773_c0_g1	1.438309625	-3.485976643	0.009628719
DN30864_c0_g1	2.394420503	2.326649956	0.000312568
DN30905_c0_g2	1.456703671	-3.913223007	0.000410024
DN30938_c0_g1	1.430486728	-1.669843965	3.67e-05
DN30944_c0_g3	1.286058201	-3.513656577	0.009064157
DN30961_c0_g1	-1.32685666	-1.615413683	0.000874462
DN30979_c0_g1	3.464084877	-3.1952008	3.89e-13
DN31153_c0_g1	-1.517656644	-2.428930955	0.001328096
DN31206_c0_g1	1.123749075	3.138118565	8.27e-05
DN31228_c0_g1	1.197550854	-3.752393514	0.002887977
DN31289_c0_g1	1.730830542	-3.211909165	0.00020043
DN31326_c0_g1	1.345828521	-3.924723633	0.004012129
DN31380_c0_g1	1.963197065	-0.352376242	3.81e-11
DN31422_c0_g1	-1.177694491	-2.699693441	0.002198811
DN31447_c0_g1	1.22571361	-3.543840134	0.007206846
DN31563_c0_g1	-6.487809991	2.652804988	9.13e-18
DN31640_c0_g1	1.015585358	0.165028131	2.55e-06
DN31653_c0_g1	-1.519254842	-3.448635634	0.00196536
DN31653_c0_g2	-2.74802967	-2.4923545	1.59e-07
DN31761_c0_g1	-4.282591587	-0.265792618	1.34e-06
DN31761_c0_g2	-3.24901659	-0.401405168	6.28e-05
DN31848_c0_g1	2.565191779	-3.23528053	2.68e-08
