"Sample.ID" "sugar_content" "water_content" "Area" "honey_type"
1 80.7 17.6 "England" "meadow"
2 80.2 18.1 "England" "meadow"
3 79 19.2 "Wales" "meadow"
4 77.8 20.4 "England" "unifloral"
5 81 17.3 "England" "meadow"
6 80.5 17.8 "England" "meadow"
7 81 17.3 "England" "meadow"
8 75.3 22.8 "Scotland" "unifloral"
9 80 18.2 "England" "meadow"
10 81.5 16.8 "Scotland" "meadow"
11 77.9 20.3 "Scotland" "unifloral"
12 79.9 18.3 "Scotland" "unifloral"
13 81.6 16.7 "England" "meadow"
14 78 20.2 "Wales" "unifloral"
15 78.1 20.1 "England" "unifloral"
16 79.9 18.3 "England" "unifloral"
17 76.9 21.2 "England" "unifloral"
18 80 18.2 "England" "meadow"
19 80 18.2 "England" "meadow"
20 76.7 21.4 "England" "unifloral"
21 79.3 18.9 "England" "unifloral"
22 76.5 21.6 "England" "unifloral"
23 79.1 19.1 "England" "unifloral"
24 80.6 17.7 "Wales" "meadow"
25 80.1 18.2 "England" "meadow"
26 75 23.1 "England" "unifloral"
27 80.2 18.1 "England" "meadow"
28 81.1 17.2 "England" "meadow"
29 76 22.1 "Scotland" "unifloral"
30 76.9 21.2 "England" "unifloral"
31 79 19.2 "Scotland" "unifloral"
32 82.5 15.8 "England" "meadow"
33 79.2 19 "Scotland" "unifloral"
34 80.9 17.4 "England" "meadow"
35 80.4 17.9 "England" "meadow"
36 78.9 19.3 "Wales" "unifloral"
37 79.2 19 "England" "unifloral"
38 79.4 18.8 "England" "meadow"
39 79.1 19.1 "Midlands" "meadow"
40 77.2 21 "Scotland" "unifloral"
41 80.2 18.1 "Scotland" "meadow"
42 76 22.1 "Midlands" "unifloral"
43 76.1 22 "Scotland" "unifloral"
44 79.5 18.7 "England" "unifloral"
45 78.7 19.5 "Midlands" "unifloral"
46 77 21.2 "Midlands" "unifloral"
47 76.8 21.3 "England" "unifloral"
48 78.5 19.7 "Midlands" "unifloral"
49 82.5 15.8 "England" "meadow"
50 80.5 17.8 "Scotland" "meadow"
51 82.3 16 "Wales" "meadow"
52 80.5 17.8 "Wales" "meadow"
53 80.1 18.2 "Wales" "meadow"
54 77.1 21.1 "Wales" "meadow"
