Gene	Chr	ABRF-ILMN-RIBO-A-1	ABRF-ILMN-RIBO-A-2	ABRF-ILMN-RIBO-A-3	ABRF-ILMN-RIBO-A-4	ABRF-ILMN-RIBO-B-1	ABRF-ILMN-RIBO-B-2	ABRF-ILMN-RIBO-B-3	ABRF-ILMN-RIBO-B-4	ABRF-ILMN-RNA-A-1	ABRF-ILMN-RNA-A-2	ABRF-ILMN-RNA-A-3	ABRF-ILMN-RNA-A-4	ABRF-ILMN-RNA-B-1	ABRF-ILMN-RNA-B-2	ABRF-ILMN-RNA-B-3	ABRF-ILMN-RNA-B-4
A1BG	chr19	1	6	5	2	19	27	11	14	125	41	17	28	47	32	68	15
A1CF	chr10	527	357	310	446	7	12	4	3	543	696	549	736	2	0	2	1
A2M	chr12	19596	13416	9255	9993	8658	10623	6293	5661	44912	51246	40613	54269	13173	13426	17918	12806
A2ML1	chr12	51	43	29	36	226	295	159	164	44	23	39	33	183	196	295	126
A4GALT	chr22	8	2	6	7	14	10	12	0	140	78	40	47	43	55	97	58
A4GNT	chr3	0	10	8	5	6	6	6	1	6	8	4	0	9	2	12	4
AAAS	chr12	628	481	281	311	522	648	373	321	3186	2514	1580	2303	1528	1870	2093	1417
AACS	chr12	698	495	336	418	1019	1604	814	709	1697	1504	1193	1643	2158	2309	2876	2002
AADAC	chr3	20	10	9	9	0	0	0	0	16	12	8	16	0	0	0	0
AADACL2	chr3	7	6	8	6	2	8	0	0	0	4	0	0	1	0	0	0
AADACL3	chr1	4	6	2	0	0	0	0	0	8	4	10	0	0	0	0	0
AADACL4	chr1	2	0	6	2	0	0	0	0	2	0	0	2	1	0	0	0
AADAT	chr4	538	375	344	396	388	504	352	263	970	1215	1135	1439	1077	926	1195	916
AAGAB	chr15	4693	3100	2649	3339	2838	3433	1960	1912	6725	8089	7707	9534	4257	3996	5568	4592
AAK1	chr2	1082	716	596	643	4957	6327	3675	3123	269	280	237	404	3630	3763	5176	3517
AAMP	chr2	362	227	158	104	578	890	398	349	3209	1863	1210	1777	2258	2910	3218	1833
AANAT	chr17	1	0	1	0	0	6	0	0	22	12	5	6	9	19	23	2
AARS2	chr6	296	232	97	151	279	430	212	165	1067	738	435	789	551	683	718	432
AARSD1	chr17	585	384	286	288	502	731	386	341	1924	1883	1533	2051	1782	1891	2573	1656
AASDH	chr4	2526	1621	1517	1934	2197	2627	1532	1561	1679	2152	2265	2790	1943	1626	2089	1944
AASDHPPT	chr11	7191	4812	4887	7296	8164	9221	5566	5462	6108	8346	9726	10625	13468	11412	15856	13753
AASS	chr7	2268	1487	1282	1676	1472	1967	1171	1110	1384	1874	1798	2307	1235	1176	1729	1417
AATF	chr17	1572	1238	683	760	1037	1322	765	678	4990	4884	3861	5343	2051	2222	2661	1973
AATK	chr17	5	9	7	5	258	406	200	161	49	29	16	30	983	1520	1691	891
ABAT	chr16	1005	695	573	591	11552	14214	7987	7255	1940	2216	1899	2331	25074	23894	32064	23767
ABCA1	chr9	5697	4092	3569	4766	2617	3210	1784	1678	3713	4757	4882	5603	1797	1701	2243	1864
ABCA10	chr17	105	85	87	138	2012	2421	1335	1348	81	59	65	76	825	662	996	801
ABCA12	chr2	732	471	350	507	47	60	15	41	321	407	474	586	18	40	51	18
ABCA13	chr7	382	253	213	342	27	40	22	27	83	114	124	169	6	29	10	31
ABCA2	chr9	94	78	77	26	1871	2927	1264	986	1629	642	294	526	6495	10549	11095	4912
ABCA3	chr16	119	120	61	62	1267	1728	739	664	564	318	182	301	2488	3385	3751	1871
ABCA4	chr1	116	87	41	84	64	72	26	27	185	175	124	207	61	65	85	42
ABCA5	chr17	5446	3867	3725	5386	12738	15134	9463	9091	3118	4513	4521	5458	10219	8698	11912	10585
ABCA6	chr17	42	34	37	45	1969	2263	1427	1281	16	19	27	53	901	811	1109	771
ABCA7	chr19	23	55	16	18	78	125	49	51	550	312	115	232	302	424	447	199
ABCA8	chr17	535	330	261	433	5048	6081	3754	3509	288	451	381	550	5172	4760	6600	5302
